2336,-0.07,-1.92
2356,-0.07,-1.92
2375,-0.08,-1.92
2395,-0.07,-1.92
2414,-0.07,-1.92
2434,-0.07,-1.92
2453,-0.07,-1.92
2472,-0.07,-1.92
2492,-0.07,-2.05
2511,-0.08,-1.92
2531,-0.08,-2.05
2550,-0.07,-1.92
2570,-0.08,-2.71
2589,-0.07,-1.79
2609,-0.07,-1.79
2628,-0.07,-1.79
2648,-0.07,-1.92
2667,-0.07,-1.92
2686,-0.07,-1.92
2707,-0.07,-1.92
2726,-0.08,-2.05
2749,-0.08,-2.18
2768,-0.07,-1.92
2788,-0.07,-1.79
2807,-0.07,-1.79
2827,-0.07,-1.79
2846,-0.06,-1.79
2866,-0.06,-1.65
2885,-0.07,-1.92
2905,-0.07,-1.79
2924,-0.07,-1.79
2944,-0.06,-1.65
2963,-0.07,-1.79
2982,-0.07,-1.79
3002,-0.07,-1.79
3021,-0.07,-1.79
3041,-0.07,-1.79
3060,-0.07,-1.79
3080,-0.07,-1.79
3099,-0.07,-1.65
3119,-0.07,-1.79
3138,-0.07,-1.92
3158,-0.07,-1.92
3177,-0.07,-1.92
3196,-0.07,-1.79
3216,-0.07,-1.79
3235,-0.07,-1.79
3255,-0.07,-1.79
3274,-0.07,-1.79
3319,-0.08,-2.18
3339,-0.08,-2.05
3358,-0.08,-2.05
3378,-0.08,-2.05
3397,-0.08,-2.05
3417,-0.09,-2.45
3436,-0.10,-2.58
3456,-0.10,-2.58
3475,-0.10,-2.71
3494,-0.11,-2.84
3514,-0.10,-2.71
3533,-0.11,-2.84
3553,-0.11,-2.84
3572,-0.11,-2.98
3592,-0.11,-2.84
3611,-0.11,-2.98
3631,-0.11,-3.11
3650,-0.11,-2.98
3670,-0.11,-2.84
3689,-0.11,-2.98
3709,-0.11,-2.98
3729,-0.11,-2.98
3748,-0.11,-2.84
3768,-0.11,-2.84
3787,-0.11,-2.98
3807,-0.11,-2.98
3826,-0.11,-2.84
3846,-0.11,-2.84
3865,-0.11,-2.84
3888,-0.11,-2.84
3907,-0.11,-2.84
3927,-0.11,-2.98
